timestamp,symbol,timeframe,fut_bias,fut_type,fut_entry,fut_sl,fut_tp1,fut_tp2,fut_rr,fut_conf,fut_duration_h,spot_action,spot_recommendation,spot_buy_trigger,spot_avoid_above,spot_fund_score,spot_institutional,outcome,pnl_pct,notes
2026-09-18 21:51:00,AVAX/USDT,15m,long,futures,8.064,8.018,8.1331,8.1791,1.5,70%,6.0,WAIT_FOR_PRICE,wait,7.94,8.1,65,neutral,PENDING,,
2026-09-18 21:58:19,NEAR/USDT,15m,long,futures,3.753,3.6561,3.8984,3.9952,1.5,78%,4.0,WAIT_FOR_PRICE,wait,3.69,3.85,75,neutral,PENDING,,
2026-09-18 22:05:22,DOT/USDT,15m,long,futures,1.1345,1.1218,1.1536,1.1664,1.5,60%,4.0,WAIT_FOR_PRICE,buy_dip,1.127,1.138,65,neutral,PENDING,,
2026-09-18 23:24:12,ALGO/USDT,15m,long,futures,0.0971,0.0962,0.0985,,1.56,67%,6.0,WAIT_FOR_PRICE,buy_dip,0.0945,0.099,55,neutral,PENDING,,
2026-09-18 23:32:23,OP/USDT,15m,neutral,none,0.1137,0.1123,0.1157,0.1171,1.43,35%,4.0,WAIT_FOR_PRICE,buy_dip,0.112,0.1155,55,neutral,PENDING,,
2026-09-18 23:38:36,LTC/USDT,15m,long,futures,56.791,56.3361,57.4734,57.9284,1.5,80%,6.0,WAIT_FOR_PRICE,buy_dip,55.07,56.5,70,neutral,PENDING,,
2026-09-18 23:55:36,DYD/USDT,15m,neutral,none,,,,,,0%,,,wait,,,,,PENDING,,
2026-09-19 00:24:52,RUNE/USDT,15m,neutral,none,,,,,,0%,,,wait,,,,,PENDING,,
2026-09-19 00:26:20,HYPE/USDT,15m,long,futures,91.82,90.9173,93.174,94.0767,1.5,70%,4.0,WAIT_FOR_PRICE,buy_dip,86.5,92.5,55,neutral,PENDING,,
2026-09-19 00:29:48,TAO/USDT,15m,long,futures,252.13,249.3263,256.3355,259.1391,1.5,80%,6.0,WAIT_FOR_PRICE,buy_dip,247.0,255.0,55,bullish,PENDING,,
2026-09-19 00:34:02,TAO/USDT,1d,long,spot,251.5,227.4288,287.6069,311.6781,1.5,67%,200.0,WAIT_FOR_PRICE,buy_dip,242.5,260.0,55,bullish,PENDING,,
2026-09-19 00:36:30,XRP/USDT,1d,long,spot,1.4057,1.2847,1.5873,1.7083,1.5,70%,200.0,WAIT_FOR_PRICE,buy_dip,1.35,1.46,70,neutral,PENDING,,
