timestamp,symbol,price,score,reasons,rsi,atr_pct,vol_ratio,change_24h,change_7d,ema20,ema50,ema200
2026-09-19 01:31:02,00/USD,0.01308002,2,bull_short;rsi_accum;vol_dead;pump_risk;7d_uptrend,34.43,3.07,0.0,20.15,19.01,0.01320281,0.01280672,0.01280672
2026-09-19 01:31:06,1INCH/USD,0.09702,4,bull_short;rsi_strong;vol_dead;pa_stable;7d_uptrend,66.96,0.31,0.06,6.63,10.61,0.09624583,0.09515243,0.09515243
2026-09-19 01:31:11,2Z/USD,0.04912,7,bull_stack;rsi_healthy;vol_dead;pa_stable,46.2,0.29,0.05,5.02,4.78,0.04905433,0.04863563,0.04746337
2026-09-19 01:31:14,A8/USD,0.005129,3,bull_short;rsi_strong;vol_dead;pa_stable,74.23,0.54,0.12,0.0,4.52,0.0050636,0.00501406,0.00501406
2026-09-19 01:31:18,AAVE/USD,139.0,7,bull_stack;rsi_healthy;vol_dead;7d_uptrend,64.89,0.46,0.0,8.01,9.88,138.31862593,136.958458,130.7473494
2026-09-19 01:31:22,ABT/USD,0.2019,4,bull_short;rsi_strong;vol_dead;pa_stable;7d_uptrend,65.98,0.9,0.06,-0.64,9.49,0.19937438,0.19825315,0.19825315
2026-09-19 01:31:28,ACH/USD,0.005903,10,bull_stack;rsi_healthy;vol_high;7d_uptrend,56.77,1.87,1.58,13.17,10.98,0.00587076,0.00567923,0.00537461
2026-09-19 01:31:32,ACS/USD,0.000157,4,bull_short;rsi_accum;vol_dead;pa_stable,41.44,0.89,0.07,5.87,4.04,0.0001577,0.00015605,0.00015605
2026-09-19 01:31:41,ADA/USD,0.22279,4,bull_stack;vol_dead;7d_uptrend,77.79,0.5,0.07,10.24,9.69,0.22094956,0.21811,0.20898574
2026-09-19 01:31:46,ADA/USDT,0.22289,5,bull_stack;rsi_strong;vol_dead;7d_uptrend,66.82,0.32,0.43,9.76,9.79,0.2206536,0.21752448,0.20862944
2026-09-19 01:31:50,AERGO/USD,0.009714,5,bull_short;rsi_healthy;vol_dead;pa_stable,60.16,1.37,0.11,1.91,2.12,0.00962614,0.0095573,0.0095573
2026-09-19 01:31:55,AERO/USD,0.67126,5,bull_stack;rsi_strong;vol_dead;7d_uptrend,68.99,1.02,0.45,14.48,24.19,0.65918966,0.64330656,0.60305068
2026-09-19 01:31:59,AGLD/USD,0.1825,6,bull_short;rsi_healthy;vol_dead;pa_stable;7d_uptrend,60.66,0.29,0.27,6.1,9.74,0.1818412,0.17943959,0.17943959
2026-09-19 01:32:02,AI/USD,0.01976,7,bull_stack;rsi_healthy;vol_dead;pa_stable,46.3,0.27,0.22,5.84,-2.37,0.01975706,0.01959386,0.01908709
2026-09-19 01:32:06,AIOZ/USD,0.07839,7,bull_stack;rsi_healthy;vol_dead;7d_uptrend,55.91,1.4,0.24,11.83,12.69,0.07829015,0.07681525,0.07302278
2026-09-19 01:32:10,AKT/USD,0.552,8,bull_stack;rsi_healthy;vol_dead;pa_stable;7d_uptrend,54.89,0.48,0.03,7.23,9.42,0.55199158,0.54850643,0.52991972
2026-09-19 01:32:14,ALCX/USD,2.08,3,bull_short;rsi_strong;vol_dead;pa_stable,70.0,1.48,0.25,0.0,-0.48,2.06472043,2.05371482,2.05371482
2026-09-19 01:32:19,ALEO/USD,0.015221,3,bear_stack;rsi_healthy;vol_spike;pa_stable,49.39,0.31,2.81,-2.4,-4.21,0.01530597,0.01535252,0.0153958
2026-09-19 01:32:24,ALEPH/USD,0.0111,6,bull_short;rsi_healthy;vol_dead;pa_stable;7d_uptrend,55.1,0.38,0.33,6.32,5.82,0.01103299,0.01091332,0.01091332
2026-09-19 01:32:30,ALGO/USD,0.09786,5,bull_stack;rsi_strong;vol_dead;7d_uptrend,71.38,0.42,0.03,8.54,5.19,0.09703391,0.09612088,0.09302229
2026-09-19 01:32:34,ALICE/USD,0.13652,6,bull_short;rsi_healthy;vol_dead;pa_stable;7d_uptrend,64.48,0.3,0.0,7.38,7.85,0.13560947,0.13369674,0.13369674
2026-09-19 01:32:39,ALIGN/USD,0.007,7,bull_stack;rsi_healthy;vol_dead;pa_stable,50.0,0.59,0.0,1.6,-13.9,0.00697354,0.00695335,0.00692677
2026-09-19 01:32:43,ALLO/USD,0.213,5,bull_short;rsi_healthy;vol_dead;pa_stable,56.34,0.31,0.04,5.76,0.61,0.21119423,0.20937603,0.20937603
